hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
8h,Ad,Js,Th,9s,Ac,2d,5,3,51.0,7.8,41.2
Ah,3h,2d,6d,Ac,3d,,4,8,34.6,1.6,63.8
4c,Th,8c,Qd,7d,,,3,5,4.2,0.8,95.0
2h,2c,Ad,5h,Ah,Qd,Td,5,8,0.0,0.0,100.0
Td,Jh,2h,3c,8d,7c,,4,8,10.2,0.6,89.2
3c,4c,Jd,Ts,Qs,,,3,5,0.6,1.8,97.6
Ks,7c,,,,,,0,2,33.0,3.8,63.2
3h,6s,5h,Ks,7d,Jd,,4,2,9.6,0.4,90.0
3s,As,Qd,7s,4d,,,3,5,10.6,1.2,88.2
6d,Jc,,,,,,0,3,20.8,3.4,75.8
3c,Tc,Js,4d,2c,As,,4,7,2.8,5.8,91.4
5s,3h,Qs,Kd,3s,As,,4,5,9.6,2.6,87.8
Qc,Ah,7d,6d,Qd,Qs,,4,7,49.8,3.8,46.4
2h,6c,4s,Qh,6h,Ah,Qd,5,6,3.8,5.4,90.8
3h,4d,,,,,,0,1,31.0,5.6,63.4
Js,Tc,Qd,9d,8c,5d,9h,5,7,57.4,3.0,39.6
4s,Kc,2c,4h,5d,,,3,3,21.8,2.0,76.2
5d,Js,Jc,7s,9h,5s,Qh,5,6,50.6,2.4,47.0
3h,3s,3c,Qd,9s,,,3,5,77.0,0.0,23.0
Qs,6c,4s,2h,Ah,3s,,4,2,14.8,1.6,83.6
6c,Qd,5d,7c,4s,,,3,8,7.8,16.2,76.0
As,3c,9s,Qc,5h,,,3,7,5.2,1.4,93.4
Tc,4s,6h,8s,9d,6c,,4,6,4.2,4.4,91.4
Ac,2h,,,,,,0,2,31.2,3.0,65.8
Jh,4s,Jc,Ah,5h,,,3,8,13.4,4.2,82.4
Kd,7c,Ah,5c,7h,8s,,4,3,23.6,2.0,74.4
Qs,Ks,Kh,2s,Td,Ad,4d,5,8,5.2,0.2,94.6
8h,Th,Jd,5s,9d,5c,,4,3,16.2,1.6,82.2
9s,7d,Td,9h,3c,5c,,4,4,21.8,0.8,77.4
Js,4h,8d,2h,4s,Qc,,4,7,7.8,0.4,91.8
7d,3d,Qh,9s,Kd,As,,4,8,0.0,0.0,100.0
3c,Tc,3d,4h,9c,3h,Ac,5,7,75.4,2.2,22.4
9d,3s,Kd,Th,As,8d,,4,2,5.6,2.8,91.6
6c,Qh,Ts,5s,2c,9s,2d,5,2,2.8,1.6,95.6
9c,Jh,Jc,Jd,6s,Ac,2s,5,8,75.8,1.2,23.0
7s,4d,Qc,2h,6d,5c,,4,1,22.4,2.2,75.4
Ts,2s,,,,,,0,4,18.0,3.0,79.0
As,3s,8h,Tc,Kd,Qd,7h,5,7,0.0,0.0,100.0
Ks,6s,4s,Kd,Js,Jh,As,5,4,91.0,0.0,9.0
Qd,2h,5d,6c,2d,,,3,8,9.4,1.0,89.6
6s,6c,Kc,7s,8s,3d,7h,5,8,1.2,0.0,98.8
4d,Qs,2s,Kh,Tc,Jc,4h,5,5,1.4,0.4,98.2
5h,Th,3h,7s,Qh,4h,6h,5,5,44.8,0.0,55.2
Th,5d,9h,5c,8h,Qs,6h,5,4,1.2,0.0,98.8
2d,7c,6s,8c,4h,8d,,4,2,11.8,2.2,86.0
Ah,3d,6c,9s,7s,4c,9c,5,1,29.6,5.0,65.4
Ad,9c,5s,4s,7s,Jd,8c,5,5,0.0,0.0,100.0
9h,7d,9d,7s,Kd,,,3,8,37.0,1.2,61.8
As,7h,7s,8s,7d,,,3,7,55.4,3.6,41.0
5c,2d,,,,,,0,2,21.2,3.2,75.6
8d,7h,Td,5s,Kh,,,3,6,4.2,0.2,95.6
8h,5c,7s,4d,4c,Jh,,4,5,8.4,0.6,91.0
2c,2d,Qd,7h,8d,4c,,4,2,15.8,0.2,84.0
Jd,5d,Kd,2h,8s,,,3,4,8.2,0.8,91.0
Kd,4c,2s,6c,Th,Ac,,4,6,0.8,0.4,98.8
8s,Kh,Kd,2c,Tc,,,3,1,82.0,1.8,16.2
5d,6d,8h,7h,9c,Ks,3s,5,8,74.0,5.0,21.0
5h,Qd,Jh,5d,Ah,8d,,4,5,10.2,0.6,89.2
Kd,9s,4s,7s,3h,,,3,4,12.2,1.2,86.6
Ts,Kd,,,,,,0,5,19.0,2.6,78.4
5h,Td,Qs,Qd,7s,2c,,4,6,1.2,0.8,98.0
6c,7h,,,,,,0,8,9.2,2.8,88.0
Jd,5h,8c,2c,As,5c,,4,8,4.4,0.0,95.6
5d,7d,As,6s,Qs,7s,4s,5,5,0.0,21.8,78.2
Jc,Kh,7s,4h,Qh,Th,,4,7,23.8,1.0,75.2
8h,Th,,,,,,0,3,29.2,3.2,67.6
Jc,Kd,Kc,Tc,4d,,,3,1,87.4,0.6,12.0
5h,3c,5d,Ah,4c,8h,9h,5,2,20.4,2.6,77.0
Js,8c,,,,,,0,5,16.0,3.0,81.0
9d,6s,,,,,,0,8,6.8,3.2,90.0
Ah,5h,,,,,,0,6,17.2,3.8,79.0
Tc,Jh,4d,5s,Ac,3h,3s,5,8,0.0,0.0,100.0
9c,2c,8s,6d,Kc,,,3,3,8.6,1.6,89.8
7s,Th,Qh,7h,3d,8d,,4,5,14.4,1.4,84.2
3s,As,Ac,5s,7c,,,3,7,24.6,5.2,70.2
Ad,Kc,,,,,,0,6,22.6,3.2,74.2
Jc,6s,3c,4h,9c,2d,Ks,5,2,2.0,0.6,97.4
2c,7s,8h,5d,6c,Kc,Qh,5,2,0.6,0.2,99.2
4c,7h,,,,,,0,1,38.8,4.8,56.4
Qc,2c,,,,,,0,4,19.8,4.6,75.6
2c,4c,Js,Ac,5c,,,3,3,41.4,2.2,56.4
Tc,3c,7d,Th,3d,,,3,1,85.4,1.0,13.6
9s,Qc,,,,,,0,7,12.0,3.6,84.4
Ts,2h,8d,Ad,Tc,Qc,As,5,2,42.4,11.0,46.6
5s,Qh,Ks,Kd,6c,,,3,3,14.8,3.8,81.4
8h,3d,2s,4h,9h,Ad,,4,1,18.8,2.6,78.6
Ks,7d,Jd,Kc,6d,,,3,2,59.6,5.2,35.2
Ah,8d,Kh,3h,5c,4d,5d,5,2,13.6,0.2,86.2
7c,5d,6s,Ah,Th,8h,,4,1,20.6,5.8,73.6
8c,6c,,,,,,0,5,15.2,2.2,82.6
5c,9d,4c,Qc,6s,5d,,4,5,9.6,0.4,90.0
2h,8h,Kd,6s,Ad,5h,,4,3,1.8,0.0,98.2
4s,2s,As,Jc,Qh,3h,,4,4,8.2,0.8,91.0
As,2d,7s,Qd,9s,8c,,4,4,4.6,1.2,94.2
4h,8h,As,6h,Kc,,,3,1,24.8,6.2,69.0
7s,Kd,,,,,,0,5,14.6,3.8,81.6
3c,As,8d,8h,Ts,8c,4s,5,3,15.4,6.6,78.0
2c,Td,9h,5h,Kc,,,3,6,2.4,1.2,96.4
2h,Ah,,,,,,0,7,14.4,2.2,83.4
4c,7s,,,,,,0,1,36.2,5.6,58.2
Qs,Td,Kh,Ac,2c,4s,Th,5,1,69.4,0.6,30.0
2d,Th,6d,7c,Kc,Ac,,4,1,18.4,2.6,79.0
7s,Ac,5s,Jc,Ks,3h,8s,5,3,3.0,0.4,96.6
9h,Ks,Qh,8h,6h,Qs,9c,5,3,47.4,1.4,51.2
Ac,8h,,,,,,0,3,28.2,2.4,69.4
8d,3h,7s,Ks,Kh,,,3,6,2.4,0.8,96.8
Qs,3s,2h,3h,8s,,,3,2,41.8,0.8,57.4
Td,3s,,,,,,0,3,15.6,3.2,81.2
Ac,2c,,,,,,0,4,17.6,3.4,79.0
Qh,Qd,2s,3h,Ah,As,Js,5,6,29.6,1.0,69.4
3c,8s,,,,,,0,5,8.4,3.2,88.4
Js,4c,7s,3d,As,,,3,6,4.2,1.8,94.0
Kd,Js,8d,2c,5s,3s,,4,1,35.0,0.6,64.4
Tc,8s,9h,As,9c,,,3,7,4.2,2.2,93.6
4d,6c,8s,2d,8d,Qh,,4,4,2.0,1.4,96.6
3s,Jc,5s,9s,Jd,3d,9c,5,6,24.0,5.6,70.4
Qs,4s,Js,5h,Tc,,,3,2,20.2,2.4,77.4
Th,5c,Qd,Tc,9c,,,3,2,41.0,7.6,51.4
9s,4d,3d,8h,Ks,8s,5d,5,4,0.0,0.0,100.0
Kc,Ac,,,,,,0,8,19.4,3.0,77.6
Ac,Jd,,,,,,0,8,14.6,3.4,82.0
2h,Js,6h,As,7c,9s,,4,3,2.0,0.2,97.8
Ks,3c,7s,9s,5h,,,3,1,34.4,4.0,61.6
8c,6c,,,,,,0,1,42.2,3.8,54.0
Td,Kh,Jc,8c,Qh,Jh,,4,6,13.2,2.6,84.2
8s,4c,7s,Td,9h,5c,Js,5,8,23.0,57.0,20.0
7c,Qc,3d,Jh,Qs,6s,Qh,5,2,91.4,0.8,7.8
As,2c,8s,4c,Th,4d,Tc,5,5,3.8,7.2,89.0
4d,7d,Qd,7s,3d,,,3,6,39.2,2.8,58.0
9d,6h,6c,7h,Ts,Qh,6s,5,2,86.2,5.0,8.8
9h,Qd,4s,Jd,9d,Qh,2c,5,2,89.2,0.4,10.4
6s,7d,As,Qs,Kc,2h,Qd,5,4,0.0,0.0,100.0
As,7c,6s,7d,2d,2c,,4,7,16.8,5.0,78.2
5c,3s,Kc,Js,Ks,,,3,4,3.0,3.4,93.6
Kc,4h,,,,,,0,1,48.8,5.0,46.2
7s,5d,,,,,,0,6,7.4,2.4,90.2
5c,Qd,6c,9d,7s,Qs,,4,6,16.4,8.4,75.2
As,7h,Td,Qs,4s,7d,Jc,5,4,7.0,0.6,92.4
4d,Ac,,,,,,0,6,16.0,2.8,81.2
Tc,Qd,,,,,,0,1,56.2,2.0,41.8
3c,Qd,Ks,Qs,Ad,3s,Ts,5,5,1.8,0.0,98.2
As,7s,Jc,6h,2s,,,3,8,8.8,0.4,90.8
6h,4s,6s,7c,Ad,5d,,4,2,37.0,5.2,57.8
5h,9c,4d,2h,Qs,3h,,4,2,17.0,4.2,78.8
As,Jd,,,,,,0,2,44.2,3.2,52.6
9s,8s,Ad,Ah,Kc,,,3,6,1.4,2.0,96.6
Ts,5s,,,,,,0,2,29.6,4.0,66.4
As,Ks,Qc,4s,9s,,,3,7,42.4,0.0,57.6
Ts,Qc,2c,Qd,8c,,,3,8,23.0,2.2,74.8
9h,5s,2h,6h,Td,5c,8c,5,4,5.6,0.2,94.2
3h,3c,8h,Kd,6d,,,3,8,5.4,0.0,94.6
6h,Ac,Jd,2c,Kc,,,3,5,9.8,3.6,86.6
Ad,Td,5h,2d,3c,,,3,7,8.0,2.0,90.0
6c,5c,Jd,Ad,8s,2c,,4,5,0.0,0.0,100.0
5h,Qs,Kh,Ac,5d,8s,Ks,5,4,8.0,5.8,86.2
3c,7c,6d,Td,Jh,2h,3s,5,4,6.2,0.6,93.2
Th,4h,7d,7c,7s,Jd,,4,3,6.8,9.4,83.8
Kc,8d,3h,7c,4d,,,3,2,22.6,1.4,76.0
Jd,Qc,Td,6d,5c,2h,,4,2,11.2,0.8,88.0
9s,Js,5h,4c,2s,Ks,3c,5,4,0.0,0.0,100.0
5h,7s,6c,As,4c,Kd,4h,5,2,0.0,0.4,99.6
Ah,Td,Ac,7c,7h,6c,Ad,5,4,84.4,15.4,0.2
8h,Qs,,,,,,0,3,26.2,3.6,70.2
4c,Qh,Ts,6c,9s,,,3,2,13.6,4.0,82.4
3d,4c,,,,,,0,6,6.2,0.6,93.2
3d,6c,Qh,2d,4s,3s,5d,5,3,65.0,31.4,3.6
Jd,3h,Td,Qs,Ts,4d,,4,2,10.8,4.2,85.0
8s,Js,7d,2c,Jc,7s,Ac,5,6,5.2,6.2,88.6
7s,8s,Ah,Qh,5s,4c,9h,5,2,1.0,0.0,99.0
Js,Ks,3h,As,8s,,,3,2,57.8,1.4,40.8
As,3d,3c,4s,3s,,,3,6,63.0,3.8,33.2
3d,Jh,,,,,,0,6,7.6,2.8,89.6
Kc,9s,5h,Th,3h,5s,,4,3,6.8,2.4,90.8
4h,3s,6c,8h,Ac,8d,9d,5,2,0.0,0.6,99.4
3s,Ks,,,,,,0,2,35.6,4.6,59.8
9d,2s,Th,7c,8h,5d,,4,8,4.4,10.6,85.0
6h,4h,,,,,,0,1,37.0,6.2,56.8
4s,9d,Qs,7c,5d,,,3,8,1.4,1.8,96.8
7s,Js,8h,Ah,5s,5d,Kc,5,8,0.0,0.0,100.0
6d,Ks,Th,2c,7s,,,3,5,5.8,1.0,93.2
Jc,4c,9c,8c,7c,,,3,6,73.2,0.0,26.8
Ah,Kd,5s,6h,9c,4d,Th,5,5,0.2,0.0,99.8
Kc,Kd,5c,3h,As,9c,,4,8,12.2,0.0,87.8
Kh,9d,4h,8d,7s,,,3,6,6.0,2.4,91.6
8d,5s,4c,Ks,3h,,,3,1,24.0,2.6,73.4
6d,3c,2d,5d,2h,Jc,Ah,5,7,0.0,0.0,100.0
Th,4h,Ks,7c,Kd,Jh,5c,5,3,1.4,0.6,98.0
8h,As,Th,9c,9s,2c,,4,4,8.4,2.8,88.8
Ah,8h,7c,2d,8d,,,3,6,23.6,1.0,75.4
9d,3d,9s,7h,8d,8c,,4,6,12.2,5.6,82.2
4d,5h,,,,,,0,8,7.2,1.4,91.4
4c,9c,9d,Ac,Ks,,,3,3,37.8,4.8,57.4
Tc,Td,8s,4d,8d,6s,2d,5,8,14.8,0.2,85.0
2c,5s,Ac,6s,Ad,,,3,3,4.6,3.0,92.4
Kd,Th,4s,5d,5h,,,3,1,47.6,5.2,47.2
Kc,Tc,Jh,2h,6c,Kd,,4,5,45.0,3.4,51.6
5d,Kh,4d,9d,6d,Ks,,4,2,66.2,2.6,31.2
Td,7c,,,,,,0,1,44.8,4.0,51.2
2s,Kc,,,,,,0,7,10.4,2.2,87.4
4h,6c,,,,,,0,5,9.8,2.2,88.0
Kh,Ad,,,,,,0,4,29.0,3.2,67.8
6c,Jh,Th,Jd,Qd,As,,4,4,6.0,12.6,81.4
Kd,4h,7c,8d,6h,3s,Qs,5,8,0.0,0.0,100.0
9d,9h,,,,,,0,6,21.2,1.0,77.8
8h,5d,,,,,,0,4,13.0,2.8,84.2
9d,3s,5c,6d,Ad,2h,Qc,5,8,0.0,0.0,100.0
Js,3h,2c,2s,3d,,,3,7,10.0,3.8,86.2
2h,3s,Qh,Jh,7s,7c,,4,5,0.4,0.4,99.2
5c,9c,4d,2s,Qh,9h,,4,4,23.2,0.8,76.0
Qs,Kc,4c,3h,Ad,Qh,Tc,5,3,44.6,1.4,54.0
6c,Ac,5d,Jd,4d,6d,8c,5,2,8.8,0.4,90.8
Ks,Qd,3s,Ts,8h,,,3,2,26.4,1.2,72.4
2d,2h,Qh,Th,Jc,,,3,1,34.2,5.6,60.2
4h,4d,3c,7s,2d,,,3,7,8.4,1.2,90.4
3c,2h,2d,3d,Kc,4d,,4,1,72.8,0.0,27.2
Jc,7c,,,,,,0,5,18.8,3.2,78.0
Jc,4s,,,,,,0,7,5.4,3.2,91.4
7h,Js,4c,Kd,4s,4d,2s,5,2,9.2,7.6,83.2
Kd,8h,9d,8s,Qh,Kh,4c,5,4,87.2,0.8,12.0
6s,Kc,9h,5d,5c,7d,,4,7,2.2,4.2,93.6
9s,Tc,8h,Qs,6c,3c,8d,5,2,3.4,0.2,96.4
7d,Qc,4s,Ks,7h,Ts,,4,4,15.8,1.2,83.0
Ah,4c,Td,Js,8d,,,3,3,6.6,5.0,88.4
Kd,7d,Tc,Qd,Kc,3s,2d,5,8,18.2,1.4,80.4
9c,4s,,,,,,0,1,38.6,3.8,57.6
Ah,6s,5h,8h,Kc,Ts,,4,6,3.2,0.8,96.0
4d,5s,Qc,6h,9d,4s,,4,1,53.0,3.6,43.4
4c,6h,,,,,,0,5,11.8,2.2,86.0
Jc,4c,,,,,,0,2,30.0,3.6,66.4
Th,Kc,,,,,,0,1,52.8,2.2,45.0
Qd,8s,9s,7d,3c,Kh,,4,3,6.6,0.8,92.6
5c,4h,Jh,2h,9c,Th,5d,5,4,3.2,0.6,96.2
As,3h,Th,7h,Ah,3s,Kc,5,1,92.0,0.8,7.2
2c,Qs,,,,,,0,3,19.0,2.8,78.2
6h,8h,Ts,Jh,2d,9c,Qh,5,5,15.0,22.2,62.8
4h,Qs,,,,,,0,6,9.2,1.8,89.0
7h,Qc,3c,Qd,9c,2s,,4,1,83.2,0.8,16.0
4s,Jd,6h,7h,8s,,,3,4,8.8,2.8,88.4
Qd,Jh,6h,9d,Qh,Kc,,4,5,28.8,5.0,66.2
Kc,9h,7c,Jd,Kd,6h,,4,2,71.4,2.4,26.2
Js,Ac,,,,,,0,3,34.8,2.2,63.0
5h,Qh,2h,3d,7d,7s,,4,7,1.2,0.0,98.8
7h,4c,3d,As,Qd,Ks,4d,5,5,1.8,1.2,97.0
Qs,Ks,Kh,Js,8h,4s,Ts,5,3,98.4,0.0,1.6
9c,7h,,,,,,0,7,10.2,1.8,88.0
4c,3s,9h,7c,Qs,,,3,5,1.2,0.2,98.6
6h,3s,Ac,2h,Td,6s,9h,5,4,4.8,2.2,93.0
Kh,2d,,,,,,0,2,31.2,4.0,64.8
5d,Ts,Tc,Jc,2d,Jd,,4,2,60.4,5.0,34.6
3s,9h,7c,8d,5c,2s,,4,4,6.4,2.2,91.4
7h,5s,Qs,5h,7c,2h,Qh,5,3,40.8,5.2,54.0
As,9d,,,,,,0,1,61.4,1.6,37.0
9c,Qc,,,,,,0,7,18.0,2.0,80.0
7d,Ac,Qh,2d,Kc,,,3,5,9.4,1.6,89.0
As,Kc,9h,2d,Ah,,,3,3,65.4,0.6,34.0
Qs,7c,Kd,7s,8h,4s,Ks,5,2,47.0,0.8,52.2
Qd,3h,Js,Jc,6d,8d,4s,5,8,0.0,0.0,100.0
5d,9c,4h,6s,Kd,Jh,5s,5,2,28.8,0.6,70.6
2c,9c,Kd,Ac,As,,,3,1,30.4,12.0,57.6
Ts,7c,3d,9h,Jh,Qh,,4,2,13.0,5.6,81.4
7d,Kc,Ts,Th,Js,,,3,2,20.2,9.0,70.8
Jd,4h,,,,,,0,3,16.2,3.4,80.4
Ks,4d,6h,7h,7d,Js,Kh,5,2,56.2,8.4,35.4
3d,Jh,,,,,,0,1,40.8,6.4,52.8
7h,6c,Th,Js,Jd,,,3,8,0.4,0.6,99.0
8d,5c,8h,4h,Tc,Jd,,4,3,21.6,3.2,75.2
7d,5h,Jd,Jc,6d,3d,9d,5,5,22.4,0.0,77.6
8d,9d,,,,,,0,5,18.4,1.6,80.0
Ts,Qc,8d,Kd,Th,4d,,4,1,60.8,0.6,38.6
3d,Ad,,,,,,0,6,15.4,2.6,82.0
Qc,6d,,,,,,0,1,48.0,5.6,46.4
Qh,Jh,,,,,,0,7,20.4,2.0,77.6
7s,9h,Ac,Kc,5h,Jh,,4,5,0.6,0.2,99.2
Jh,5d,9h,8d,6d,,,3,8,1.8,3.8,94.4
9h,3c,,,,,,0,4,12.6,3.4,84.0
Jd,Kd,5d,Js,Th,4c,,4,1,83.0,0.0,17.0
9s,Ts,Jd,3s,2h,,,3,8,9.4,0.4,90.2
7c,Jd,Ks,7h,3h,,,3,6,16.8,1.8,81.4
2s,Qh,,,,,,0,3,19.8,4.6,75.6
As,2h,5c,2s,6d,Ah,Kc,5,1,96.6,0.0,3.4
9d,8c,2s,Ah,Kc,4c,Qc,5,1,16.6,2.0,81.4
Ks,3s,Js,Qs,4d,,,3,3,42.6,1.6,55.8
Ts,3d,8d,4c,Js,7s,5c,5,3,0.0,0.0,100.0
Kh,Qd,9s,7s,2s,6s,8h,5,8,0.0,0.0,100.0
8h,Qc,,,,,,0,8,10.2,2.4,87.4
Td,7d,8c,7s,9h,,,3,8,11.0,17.6,71.4
2h,Tc,,,,,,0,1,38.6,5.0,56.4
3h,6d,9d,Qd,7c,,,3,3,8.2,0.6,91.2
Td,Qc,6s,8s,Jd,,,3,2,31.6,1.8,66.6
9s,6s,9h,As,5h,Ts,7h,5,5,5.2,2.0,92.8
Jh,Kc,Td,5c,Th,7s,,4,3,12.8,1.4,85.8
3s,9c,9s,9d,Th,8h,Kc,5,7,42.6,11.0,46.4
8h,2c,Ac,7c,Ah,3s,,4,4,3.2,0.8,96.0
Jh,6c,,,,,,0,5,10.0,4.4,85.6
4c,8d,Jd,2c,9c,As,9h,5,7,0.0,0.0,100.0
2h,6c,5c,9s,3h,,,3,2,23.6,1.4,75.0
7c,8s,7s,Qs,Kc,Th,,4,3,15.4,3.4,81.2
2d,Ts,3c,Ks,Qc,,,3,1,27.6,6.2,66.2
Jd,6h,Tc,8d,5c,,,3,6,2.4,1.8,95.8
5h,9s,8d,Ad,9d,As,,4,5,12.8,7.6,79.6
Qc,Ks,Th,Ad,Ts,Qh,4d,5,6,7.8,7.8,84.4
2d,Ts,5h,Ah,3h,,,3,4,4.8,4.0,91.2
Js,Jc,5c,Tc,7s,2d,6d,5,3,54.2,0.0,45.8
Jh,Tc,4c,As,Td,,,3,8,13.0,2.6,84.4
5s,7s,,,,,,0,5,19.6,2.4,78.0
3d,8h,3h,Ac,Ks,Td,Th,5,7,0.4,0.8,98.8
4h,Ks,5d,9h,3c,8d,9d,5,5,0.2,0.0,99.8
8c,6d,Th,5c,Jh,,,3,2,12.6,3.0,84.4
Jh,8d,Ad,2c,2s,Js,Ks,5,4,7.4,5.8,86.8
4h,5c,8s,Jh,3c,4d,Kd,5,6,1.0,0.6,98.4
5s,Ah,,,,,,0,4,18.8,5.4,75.8
9d,6d,4d,Th,3s,3h,4h,5,5,0.0,0.0,100.0
Td,2h,9s,8s,5c,8h,,4,1,17.8,3.2,79.0
5c,Jh,,,,,,0,5,10.8,3.2,86.0
4c,Qs,Th,Ac,2d,7d,,4,5,1.8,0.2,98.0
Th,5c,7c,7s,3c,9h,,4,6,1.4,0.8,97.8
Tc,2d,,,,,,0,6,5.6,2.4,92.0
6h,9c,,,,,,0,6,9.6,3.8,86.6
4c,6d,,,,,,0,8,6.0,2.2,91.8
7d,Js,,,,,,0,2,32.8,3.8,63.4
6s,6h,Kh,7c,7s,,,3,6,8.6,0.4,91.0
2d,7s,,,,,,0,7,6.2,2.0,91.8
9c,7c,Kh,6s,Kc,6h,Th,5,8,0.0,0.0,100.0
9c,5c,Ts,Td,2s,Qc,8s,5,6,0.0,0.0,100.0
9d,2c,4d,Qh,9s,Jd,,4,3,24.6,3.6,71.8
Jh,6h,3s,Kd,9h,,,3,3,13.8,2.0,84.2
As,4c,,,,,,0,4,18.2,4.0,77.8
Jc,Qh,9c,Qc,Tc,,,3,3,60.6,8.6,30.8
Qs,Ts,Th,Jc,7s,,,3,7,17.8,2.6,79.6
9s,2c,9c,8s,Qs,6h,8d,5,1,66.6,5.0,28.4
3h,3c,,,,,,0,5,16.2,0.2,83.6
Qc,5d,9s,2h,9c,4h,Jd,5,3,1.6,0.2,98.2
Kc,2h,2s,Th,5h,3s,,4,3,12.8,0.4,86.8
Qc,Kd,3c,5d,5h,9s,Tc,5,6,0.0,0.0,100.0
Kh,4d,,,,,,0,2,31.2,4.6,64.2
6s,Kh,Qs,Jc,2c,,,3,4,6.6,1.2,92.2
8c,2c,5c,6s,9s,7c,Qd,5,4,53.0,42.0,5.0
7c,3h,Td,Jc,9d,5d,,4,4,1.8,0.8,97.4
6c,4h,2d,Ah,Th,,,3,5,3.2,0.4,96.4
8d,7s,Ks,6h,4d,,,3,7,16.4,1.2,82.4
Ks,5d,7d,Th,Js,9d,Td,5,8,0.0,0.0,100.0
6s,7s,4c,Tc,Ts,Qd,Qh,5,1,15.0,5.8,79.2
Ac,9d,6s,7s,8h,Ad,,4,2,66.2,3.6,30.2
5d,Th,Ts,2h,6h,2c,2d,5,2,67.8,15.2,17.0
Qh,Jd,7h,3d,6h,8c,4h,5,5,0.0,0.0,100.0
5c,Qs,Ks,Js,Kh,7s,,4,1,47.6,4.0,48.4
5h,Ks,Ad,5s,Jc,,,3,2,39.0,3.2,57.8
2s,Ts,9s,Ac,5c,7d,Qh,5,6,0.0,0.0,100.0
4s,Kc,Td,Ad,2h,9c,6s,5,8,0.0,0.0,100.0
7s,Qc,7c,4h,5d,,,3,5,19.8,1.2,79.0
6h,3d,Kd,Js,Qc,,,3,5,0.2,0.8,99.0
3s,9s,,,,,,0,7,10.8,1.6,87.6
Qh,6d,Td,Qs,Ad,,,3,5,18.4,7.0,74.6
6c,Td,Ac,3c,5d,,,3,2,17.4,2.4,80.2
8d,Td,,,,,,0,8,11.0,4.2,84.8
4s,Ks,,,,,,0,6,16.2,4.6,79.2
Qh,Jc,Kh,Qd,Js,9h,,4,5,25.8,5.0,69.2
Ac,Qd,6s,Ks,5d,Qc,,4,8,16.2,0.6,83.2
7s,Ad,9s,8c,2c,,,3,5,7.2,3.4,89.4
Tc,3s,Qd,6d,Kc,6h,,4,8,0.0,0.4,99.6
Qd,6s,Qc,Ac,2c,,,3,5,11.2,2.6,86.2
Qc,6d,7s,2h,4h,,,3,7,3.4,2.0,94.6
7h,As,,,,,,0,1,58.0,3.0,39.0
Ac,6d,,,,,,0,5,15.6,2.4,82.0
5s,7h,5c,3h,8d,4d,Ks,5,5,6.2,0.4,93.4
2c,Th,Jd,9h,5s,6h,,4,6,0.6,0.0,99.4
Ah,Kc,8c,7d,Kd,9s,8d,5,8,13.2,1.2,85.6
6s,9h,Ah,2s,4d,2h,Jc,5,3,0.0,0.0,100.0
8s,Th,,,,,,0,2,31.2,3.4,65.4
6s,4c,Jc,Ks,7s,9h,5s,5,4,0.0,0.0,100.0
2h,Ks,,,,,,0,8,7.2,3.0,89.8
5d,As,3c,9h,2d,Ks,,4,8,9.4,1.0,89.6
7h,Ad,6h,7d,6s,,,3,8,11.4,3.8,84.8
6c,9c,9d,2h,8c,8s,9s,5,5,79.0,20.8,0.2
3h,8c,9c,5h,2c,5c,6c,5,2,59.8,0.0,40.2
Jc,Kd,9h,9d,2h,,,3,2,32.0,4.2,63.8
8h,As,9s,Td,9c,,,3,6,5.0,6.6,88.4
3d,8c,,,,,,0,3,13.8,3.2,83.0
9h,As,5h,Qc,3d,8d,7d,5,7,0.0,0.0,100.0
8c,5h,,,,,,0,8,6.4,2.6,91.0
Js,4d,,,,,,0,6,10.2,2.2,87.6
Js,4s,Kd,4c,3d,,,3,6,14.0,0.6,85.4
Kc,6s,Qs,Ah,5s,,,3,6,3.0,2.2,94.8
2d,2h,,,,,,0,5,15.8,0.6,83.6
Js,Ad,4d,Td,Kc,Kh,,4,4,19.6,3.0,77.4
Qs,3s,,,,,,0,5,17.6,3.0,79.4
6c,Td,5s,8c,9c,Jh,,4,7,5.8,10.8,83.4
4h,Qd,Jd,Jc,3h,4s,,4,7,9.8,3.0,87.2
2h,Ks,5h,9d,Ad,Kd,,4,5,15.4,3.6,81.0
5c,Ah,4d,3s,9s,,,3,3,22.2,3.4,74.4
4s,4c,,,,,,0,6,13.6,1.4,85.0
Tc,8h,,,,,,0,1,52.0,4.6,43.4
9c,4d,Kc,Ks,Qs,Jd,9s,5,8,0.2,0.0,99.8
Ts,Qh,3d,9s,Qs,9c,4d,5,2,73.8,1.4,24.8
4h,Qd,9c,Kc,Js,,,3,4,10.4,7.0,82.6
4c,Kc,5h,8c,2d,5d,,4,5,2.2,0.8,97.0
6s,Th,,,,,,0,6,11.0,3.0,86.0
9c,As,Jd,5s,Kh,5d,,4,1,48.8,8.4,42.8
Jd,6d,2d,5s,Tc,,,3,6,8.4,1.4,90.2
Js,3c,,,,,,0,2,32.4,2.6,65.0
Th,3c,,,,,,0,7,7.8,2.0,90.2
Kc,9d,Qh,Ah,7s,,,3,2,23.2,3.2,73.6
3c,8d,Jh,Kc,9d,9s,Ac,5,5,0.0,0.6,99.4
